"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"C","Caleb Joseph",2400,"Was@Bal 07:05PM ET",2.400,"Bal"
"OF","Daniel Robertson",2400,"NYY@Sea 10:10PM ET",2.556,"Sea"
"C","Josh Phegley",2400,"Cle@Oak 10:05PM ET",5.192,"Oak"
"C","Max Stassi",2400,"Hou@Pit 07:05PM ET",0.000,"Hou"
"1B","Jon Singleton",2400,"Hou@Pit 07:05PM ET",0,"Hou"
"1B/3B","Richie Shaffer",2400,"Bos@TB 07:10PM ET",3.000,"TB"
"2B/OF","Mike Freeman",2400,"NYY@Sea 10:10PM ET",1.200,"Sea"
"OF","Eury Perez",2400,"Hou@Pit 07:05PM ET",0,"Hou"
"OF","Teoscar Hernandez",2400,"Hou@Pit 07:05PM ET",8.222,"Hou"
"C/OF","Blake Swihart",2400,"Bos@TB 07:10PM ET",5.947,"Bos"
"OF","Boog Powell",2400,"NYY@Sea 10:10PM ET",0,"Sea"
"OF","Guillermo Heredia",2400,"NYY@Sea 10:10PM ET",4.167,"Sea"
"3B","Yulieski Gurriel",2400,"Hou@Pit 07:05PM ET",5.000,"Hou"
"C","Ryan Hanigan",2300,"Bos@TB 07:10PM ET",3.867,"Bos"
"C","Christian Vazquez",2300,"Bos@TB 07:10PM ET",4.490,"Bos"
"2B/SS","Alexi Amarista",2300,"ChC@SD 10:10PM ET",3.633,"SD"
"OF","Ryan LaMarre",2300,"Bos@TB 07:10PM ET",0.667,"Bos"
"C","Bryan Holaday",2300,"Bos@TB 07:10PM ET",4.833,"Bos"
"3B","Renato Nunez",2300,"Cle@Oak 10:05PM ET",0,"Oak"
"OF","Manuel Margot",2300,"ChC@SD 10:10PM ET",0,"SD"
"OF","Andrew Benintendi",2300,"Bos@TB 07:10PM ET",7.333,"Bos"
"C","Bobby Wilson",2200,"Bos@TB 07:10PM ET",4.655,"TB"
"3B","Pablo Sandoval",2200,"Bos@TB 07:10PM ET",0.667,"Bos"
"C","Chris Iannetta",2200,"NYY@Sea 10:10PM ET",4.952,"Sea"
"2B/SS","Justin Sellers",2200,"ChC@SD 10:10PM ET",0,"SD"
"C","Hank Conger",2200,"Bos@TB 07:10PM ET",3.245,"TB"
"1B/SS","Nick Noonan",2200,"ChC@SD 10:10PM ET",1.857,"SD"
"OF","Jabari Blash",2200,"ChC@SD 10:10PM ET",3.053,"SD"
"1B","Josh Satin",2200,"ChC@SD 10:10PM ET",0,"SD"
